Year,Country,code,Region,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
2018,Afghanistan,AFG,South Asia,3.632,0.332,0.537,0.255,0.085,0.036,0.191,2.196
2018,Albania,ALB,Central and Eastern Europe,4.586,0.916,0.817,0.79,0.419,0.032,0.149,1.462
2018,Algeria,DZA,Middle East and Northern Africa,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2.209
2018,Angola,AGO,Sub-Saharan Africa,3.795,0.73,1.125,0.269,0,0.061,0.079,1.531
2018,Argentina,ARG,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2.418
2018,Armenia,ARM,Commonwealth of Independent States,4.321,0.816,0.99,0.666,0.26,0.028,0.077,1.483
2018,Australia,AUS,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2.139
2018,Austria,AUT,Western Europe,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2.319
2018,Azerbaijan,AZE,Commonwealth of Independent States,5.201,1.024,1.161,0.603,0.43,0.176,0.031,1.776
2018,Bahrain,BHR,Middle East and Northern Africa,6.105,1.338,1.366,0.698,0.594,0.123,0.243,1.743
2018,Bangladesh,BGD,South Asia,4.5,0.532,0.85,0.579,0.58,0.144,0.153,1.664
2018,Belarus,BLR,Commonwealth of Independent States,5.483,1.039,1.498,0.7,0.307,0.154,0.101,1.684
2018,Belgium,BEL,Western Europe,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2.215
2018,Belize,BLZ,Latin America and Caribbean,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2.71
2018,Benin,BEN,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2.481
2018,Bhutan,BTN,South Asia,5.082,0.796,1.335,0.527,0.541,0.171,0.364,1.348
2018,Bolivia,BOL,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2.469
2018,Bosnia and Herzegovina,BIH,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0,0.216,1.883
2018,Botswana,BWA,Sub-Saharan Africa,3.59,1.017,1.174,0.417,0.557,0.092,0.042,0.292
2018,Brazil,BRA,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2.592
2018,Bulgaria,BGR,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.009,0.064,1.219
2018,Burkina Faso,BFA,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.128,0.175,2.145
2018,Burundi,BDI,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.076,0.149,1.752
