Year,Country,code,Region,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
2021,Afghanistan,AFG,South Asia,2.523,0.37,0,0.126,0,0.01,0.122,1.895
2021,Albania,ALB,Central and Eastern Europe,5.117,1.008,0.529,0.646,0.491,0.024,0.168,2.25
2021,Algeria,DZA,Middle East and Northern Africa,4.887,0.946,0.765,0.552,0.119,0.12,0.144,2.242
2021,Argentina,ARG,Latin America and Caribbean,5.929,1.162,0.98,0.646,0.544,0.067,0.069,2.461
2021,Armenia,ARM,Commonwealth of Independent States,5.283,0.996,0.758,0.585,0.54,0.198,0.079,2.127
2021,Australia,AUS,Australia and New Zealand,7.183,1.453,1.076,0.801,0.647,0.317,0.291,2.598
2021,Austria,AUT,Western Europe,7.268,1.492,1.062,0.782,0.64,0.292,0.215,2.784
2021,Azerbaijan,AZE,Commonwealth of Independent States,5.171,1.025,0.841,0.541,0.526,0.276,0.043,1.919
2021,Bahrain,BHR,Middle East and Northern Africa,6.647,1.409,0.899,0.662,0.661,0.139,0.246,2.631
2021,Bangladesh,BGD,South Asia,5.025,0.635,0.52,0.514,0.603,0.164,0.161,2.427
2021,Belarus,BLR,Commonwealth of Independent States,5.534,1.124,1.007,0.56,0.326,0.199,0.07,2.247
2021,Belgium,BEL,Western Europe,6.834,1.463,0.998,0.747,0.489,0.187,0.088,2.862
2021,Benin,BEN,Sub-Saharan Africa,5.045,0.507,0.058,0.196,0.457,0.178,0.166,3.482
2021,Bolivia,BOL,Latin America and Caribbean,5.716,0.842,0.782,0.486,0.6,0.064,0.138,2.805
2021,Bosnia and Herzegovina,BIH,Central and Eastern Europe,5.813,1.032,0.919,0.618,0.395,0.005,0.261,2.583
2021,Botswana,BWA,Sub-Saharan Africa,3.467,1.099,0.724,0.34,0.539,0.088,0.027,0.648
2021,Brazil,BRA,Latin America and Caribbean,6.33,1.028,0.944,0.571,0.514,0.117,0.142,3.015
2021,Bulgaria,BGR,Central and Eastern Europe,5.266,1.181,1.055,0.583,0.494,0.005,0.125,1.823
2021,Burkina Faso,BFA,Sub-Saharan Africa,4.834,0.364,0.472,0.179,0.381,0.122,0.182,3.133
2021,Burundi,BDI,Sub-Saharan Africa,3.775,0,0.062,0.155,0.298,0.212,0.172,2.876
2021,Cambodia,KHM,Southeast Asia,4.83,0.603,0.68,0.426,0.702,0.061,0.21,2.148
2021,Cameroon,CMR,Sub-Saharan Africa,5.142,0.543,0.556,0.159,0.425,0.058,0.205,3.195
2021,Canada,CAN,North America,7.103,1.447,1.044,0.798,0.648,0.335,0.246,2.585
2021,Chad,TCD,Sub-Saharan Africa,4.355,0.255,0.353,0,0.24,0.084,0.215,3.209
2021,Chile,CHL,Latin America and Caribbean,6.172,1.2,0.946,0.678,0.438,0.07,0.159,2.682
2021,China,CHN,East Asia,5.339,1.061,0.785,0.665,0.636,0.117,0.093,1.982
2021,Colombia,COL,Latin America and Caribbean,6.012,1.021,0.866,0.615,0.554,0.063,0.1,2.794
2021,Comoros,COM,Sub-Saharan Africa,4.289,0.488,0.367,0.279,0.202,0.101,0.241,2.61
2021,Congo (Brazzaville),COG,Sub-Saharan Africa,5.342,0.518,0.392,0.307,0.381,0.124,0.144,3.476
2021,Costa Rica,CRI,Latin America and Caribbean,7.069,1.134,0.966,0.722,0.673,0.083,0.105,3.387
2021,Croatia,CRI,Central and Eastern Europe,5.882,1.251,1.039,0.703,0.453,0,0.111,2.325
2021,Cyprus,CYP,Western Europe,6.223,1.377,0.765,0.801,0.464,0.061,0.178,2.578
2021,Czech Republic,CZE,Central and Eastern Europe,6.965,1.37,1.09,0.703,0.58,0.046,0.052,3.124
2021,Denmark,DNK,Western Europe,7.62,1.502,1.108,0.763,0.686,0.485,0.208,2.868
2021,Dominican Republic,DOM,Latin America and Caribbean,5.545,1.106,0.879,0.555,0.581,0.144,0.101,2.178
2021,Ecuador,ECU,Latin America and Caribbean,5.764,0.935,0.806,0.64,0.56,0.062,0.107,2.653
2021,Egypt,EGY,Middle East and Northern Africa,4.283,0.954,0.647,0.426,0.446,0.092,0.069,1.648
2021,El Salvador,SLV,Latin America and Caribbean,6.061,0.845,0.675,0.565,0.615,0.16,0.116,3.085
2021,Estonia,EST,Central and Eastern Europe,6.189,1.344,1.079,0.64,0.641,0.263,0.119,2.103
2021,Ethiopia,ETH,Sub-Saharan Africa,4.275,0.37,0.679,0.331,0.451,0.114,0.241,2.089
2021,Finland,FIN,Western Europe,7.842,1.446,1.106,0.741,0.691,0.481,0.124,3.253
2021,France,FRA,Western Europe,6.69,1.421,1.081,0.804,0.536,0.235,0.092,2.521
2021,Gabon,GAB,Sub-Saharan Africa,4.852,1.037,0.707,0.362,0.424,0.064,0.058,2.201
2021,Gambia,GMB,Sub-Saharan Africa,5.051,0.367,0.511,0.21,0.384,0.123,0.465,2.99
2021,Georgia,GEO,Commonwealth of Independent States,4.891,1.03,0.47,0.498,0.488,0.181,0.032,2.191
2021,Germany,DEU,Western Europe,7.155,1.48,0.993,0.757,0.6,0.306,0.195,2.824
2021,Ghana,GHA,Sub-Saharan Africa,5.088,0.68,0.595,0.287,0.517,0.058,0.268,2.684
2021,Greece,GRC,Western Europe,5.723,1.273,0.811,0.76,0.243,0.074,0,2.561
2021,Guatemala,GTM,Latin America and Caribbean,6.435,0.845,0.79,0.519,0.638,0.105,0.163,3.375
2021,Guinea,GIN,Sub-Saharan Africa,4.984,0.42,0.399,0.206,0.384,0.111,0.25,3.216
2021,Haiti,HTI,Latin America and Caribbean,3.615,0.294,0.173,0.227,0.257,0.139,0.463,2.06
2021,Honduras,HND,Latin America and Caribbean,5.919,0.703,0.787,0.593,0.578,0.083,0.241,2.934
2021,Hong Kong,HKG,East Asia,5.477,1.525,0.841,0.893,0.408,0.342,0.232,1.236
2021,Hungary,HUN,Central and Eastern Europe,5.992,1.301,1.083,0.615,0.454,0.04,0.067,2.432
2021,Iceland,ISL,Western Europe,7.554,1.482,1.172,0.772,0.698,0.17,0.293,2.967
2021,India,IND,South Asia,3.819,0.741,0.316,0.383,0.622,0.106,0.246,1.405
2021,Indonesia,IDN,Southeast Asia,5.345,0.954,0.786,0.433,0.598,0.046,0.541,1.987
2021,Iran,IDN,Middle East and Northern Africa,4.721,1.03,0.557,0.561,0.275,0.144,0.33,1.823
2021,Iraq,IRQ,Middle East and Northern Africa,4.854,0.91,0.638,0.381,0.302,0.041,0.153,2.429
2021,Ireland,IRL,Western Europe,7.085,1.644,1.092,0.753,0.606,0.367,0.238,2.384
2021,Israel,ISR,Middle East and Northern Africa,7.157,1.376,1.074,0.788,0.509,0.119,0.208,3.083
2021,Italy,ITA,Western Europe,6.483,1.393,0.94,0.798,0.379,0.047,0.133,2.794
2021,Ivory Coast,ITA,Sub-Saharan Africa,5.306,0.669,0.409,0.052,0.438,0.092,0.177,3.469
2021,Jamaica,JAM,Latin America and Caribbean,6.309,0.891,0.932,0.599,0.618,0.035,0.099,3.135
2021,Japan,JPN,East Asia,5.94,1.389,0.949,0.838,0.504,0.192,0.02,2.048
2021,Jordan,JOR,Middle East and Northern Africa,4.395,0.89,0.685,0.583,0.455,0.15,0.079,1.553
2021,Kazakhstan,KAZ,Commonwealth of Independent States,6.152,1.23,1.103,0.527,0.573,0.132,0.143,2.446
2021,Kenya,KEN,Sub-Saharan Africa,4.607,0.603,0.508,0.385,0.483,0.073,0.375,2.18
2021,Kosovo,PRK,Central and Eastern Europe,6.372,0.937,0.807,0.483,0.593,0.014,0.356,3.182
2021,Kuwait,KWT,Middle East and Northern Africa,6.106,1.461,0.857,0.58,0.591,0.13,0.12,2.368
2021,Kyrgyzstan,KGZ,Commonwealth of Independent States,5.744,0.665,0.971,0.501,0.673,0.02,0.266,2.648
2021,Laos,LAO,Southeast Asia,5.03,0.808,0.598,0.33,0.643,0.179,0.268,2.204
2021,Latvia,LVA,Central and Eastern Europe,6.032,1.285,1.047,0.587,0.405,0.089,0.082,2.536
2021,Lebanon,LBN,Middle East and Northern Africa,4.584,1.045,0.868,0.595,0.175,0.026,0.14,1.736
2021,Lesotho,LSO,Sub-Saharan Africa,3.512,0.451,0.731,0.007,0.405,0.015,0.103,1.8
2021,Liberia,LBR,Sub-Saharan Africa,4.625,0.228,0.58,0.253,0.43,0.057,0.221,2.857
2021,Libya,LBY,Middle East and Northern Africa,5.41,1.044,0.821,0.435,0.474,0.174,0.131,2.331
2021,Lithuania,LTU,Central and Eastern Europe,6.255,1.35,1.065,0.612,0.476,0.073,0.056,2.624
2021,Luxembourg,LUX,Western Europe,7.324,1.751,1.003,0.76,0.639,0.353,0.166,2.653
2021,Madagascar,MDG,Sub-Saharan Africa,4.208,0.266,0.503,0.341,0.207,0.087,0.185,2.62
2021,Malawi,MWI,Sub-Saharan Africa,3.6,0.113,0.168,0.298,0.484,0.134,0.213,2.19
2021,Malaysia,MYS,Southeast Asia,5.384,1.259,0.797,0.587,0.624,0.064,0.27,1.784
2021,Maldives,MDV,South Asia,5.198,1.115,1.015,0.697,0.575,0.073,0.204,1.52
2021,Mali,MLI,Sub-Saharan Africa,4.723,0.387,0.59,0.11,0.384,0.072,0.164,3.016
2021,Malta,MLT,Western Europe,6.602,1.411,1.055,0.747,0.664,0.183,0.275,2.268
2021,Mauritania,MRT,Sub-Saharan Africa,4.227,0.666,0.749,0.273,0.218,0.133,0.119,2.069
2021,Mauritius,MUS,Sub-Saharan Africa,6.049,1.178,0.996,0.574,0.59,0.096,0.153,2.462
2021,Mexico,MEX,Latin America and Caribbean,6.317,1.126,0.83,0.634,0.585,0.089,0.092,2.961
2021,Moldova,FSM,Commonwealth of Independent States,5.766,0.985,0.888,0.542,0.536,0.013,0.137,2.665
2021,Mongolia,MNG,East Asia,5.677,0.966,1.065,0.442,0.397,0.053,0.263,2.492
2021,Montenegro,MNE,Central and Eastern Europe,5.581,1.155,0.891,0.637,0.397,0.081,0.166,2.254
2021,Morocco,MAR,Middle East and Northern Africa,4.918,0.792,0.219,0.558,0.477,0.088,0.034,2.749
2021,Mozambique,MOZ,Sub-Saharan Africa,4.794,0.183,0.634,0.196,0.608,0.163,0.228,2.783
2021,Myanmar,MMR,Southeast Asia,4.426,0.666,0.713,0.341,0.601,0.178,0.52,1.407
2021,Namibia,NAM,Sub-Saharan Africa,4.574,0.882,0.801,0.262,0.411,0.059,0.091,2.068
2021,Nepal,NPL,South Asia,5.269,0.519,0.702,0.496,0.488,0.135,0.287,2.642
2021,Netherlands,NLD,Western Europe,7.464,1.501,1.079,0.753,0.647,0.384,0.302,2.798
2021,New Zealand,NZL,Australia and New Zealand,7.277,1.4,1.094,0.785,0.665,0.445,0.276,2.612
2021,Nicaragua,NIC,Latin America and Caribbean,5.972,0.693,0.904,0.604,0.553,0.176,0.201,2.841
2021,Niger,NER,Sub-Saharan Africa,5.074,0.162,0.402,0.167,0.516,0.157,0.2,3.47
2021,Nigeria,NGA,Sub-Saharan Africa,4.759,0.663,0.625,0.051,0.433,0.039,0.212,2.736
2021,North Cyprus,NFK,Western Europe,5.536,1.377,0.806,0.801,0.503,0.2,0.196,1.653
2021,North Macedonia,NFK,Central and Eastern Europe,5.101,1.068,0.772,0.535,0.45,0.022,0.212,2.042
2021,Norway,NOR,Western Europe,7.392,1.543,1.108,0.782,0.703,0.427,0.249,2.58
2021,Pakistan,PAK,South Asia,4.934,0.637,0.423,0.322,0.418,0.097,0.252,2.784
2021,Palestinian Territories,PLW,Middle East and Northern Africa,4.517,0.646,0.819,0.434,0.33,0.075,0.082,2.131
2021,Panama,PAN,Latin America and Caribbean,6.18,1.298,0.976,0.667,0.596,0.053,0.079,2.509
2021,Paraguay,PRY,Latin America and Caribbean,5.653,0.983,0.97,0.549,0.602,0.037,0.206,2.306
2021,Peru,PER,Latin America and Caribbean,5.84,0.986,0.833,0.623,0.536,0.031,0.087,2.744
2021,Philippines,PHL,Southeast Asia,5.88,0.853,0.828,0.426,0.651,0.126,0.125,2.872
2021,Poland,POL,Central and Eastern Europe,6.166,1.309,0.982,0.668,0.558,0.13,0.08,2.438
2021,Portugal,PRT,Western Europe,5.929,1.323,0.939,0.76,0.621,0.033,0.029,2.225
2021,Romania,ROU,Central and Eastern Europe,6.14,1.275,0.832,0.595,0.564,0.001,0.045,2.83
2021,Russia,RUS,Commonwealth of Independent States,5.477,1.241,0.992,0.511,0.409,0.06,0.115,2.148
2021,Rwanda,RWA,Sub-Saharan Africa,3.415,0.364,0.202,0.407,0.627,0.493,0.227,1.095
2021,Saudi Arabia,SAU,Middle East and Northern Africa,6.494,1.435,0.964,0.571,0.603,0.163,0.09,2.668
2021,Senegal,SEN,Sub-Saharan Africa,5.132,0.518,0.558,0.357,0.381,0.088,0.158,3.071
2021,Serbia,SRB,Central and Eastern Europe,6.078,1.101,0.924,0.634,0.482,0.066,0.189,2.682
2021,Sierra Leone,SLE,Sub-Saharan Africa,3.849,0.279,0.377,0.1,0.408,0.047,0.243,2.396
2021,Singapore,SGP,Southeast Asia,6.377,1.695,1.019,0.897,0.664,0.547,0.176,1.379
2021,Slovakia,SVK,Central and Eastern Europe,6.331,1.304,1.066,0.653,0.468,0.018,0.107,2.714
2021,Slovenia,SVN,Central and Eastern Europe,6.461,1.36,1.093,0.722,0.69,0.085,0.122,2.388
2021,South Africa,ZAF,Sub-Saharan Africa,4.956,0.967,0.895,0.265,0.447,0.051,0.144,2.187
2021,South Korea,SGS,East Asia,5.845,1.403,0.758,0.801,0.353,0.135,0.134,2.262
2021,Spain,ESP,Western Europe,6.491,1.375,1.057,0.826,0.462,0.124,0.135,2.513
2021,Sri Lanka,LKA,South Asia,4.325,0.99,0.82,0.593,0.559,0.049,0.239,1.075
2021,Swaziland,SWZ,Sub-Saharan Africa,4.308,0.849,0.693,0.074,0.323,0.147,0.067,2.155
2021,Sweden,SWE,Western Europe,7.363,1.478,1.062,0.763,0.685,0.448,0.244,2.683
2021,Switzerland,CHE,Western Europe,7.571,1.566,1.079,0.816,0.653,0.413,0.204,2.839
2021,Taiwan,TWN,East Asia,6.584,1.48,0.982,0.665,0.49,0.139,0.142,2.687
2021,Tajikistan,TJK,Commonwealth of Independent States,5.466,0.508,0.895,0.498,0.548,0.247,0.152,2.619
2021,Tanzania,TJK,Sub-Saharan Africa,3.623,0.433,0.54,0.3,0.549,0.231,0.307,1.263
2021,Thailand,THA,Southeast Asia,5.985,1.107,0.957,0.596,0.611,0.028,0.375,2.309
2021,Togo,TGO,Sub-Saharan Africa,4.107,0.254,0.239,0.203,0.289,0.107,0.209,2.806
2021,Tunisia,TUN,Middle East and Northern Africa,4.596,0.919,0.515,0.59,0.334,0.044,0.057,2.138
2021,Turkey,TUR,Middle East and Northern Africa,4.948,1.26,0.809,0.59,0.236,0.104,0.097,1.852
2021,Turkmenistan,TKM,Commonwealth of Independent States,5.066,1.046,1.172,0.439,0.602,0.033,0.366,1.409
2021,Uganda,UGA,Sub-Saharan Africa,4.636,0.364,0.718,0.24,0.398,0.054,0.267,2.596
2021,Ukraine,UKR,Commonwealth of Independent States,4.875,0.979,0.958,0.517,0.417,0.01,0.181,1.813
2021,United Arab Emirates,ARE,Middle East and Northern Africa,6.561,1.555,0.86,0.594,0.67,0.223,0.236,2.422
2021,United Kingdom,GBR,Western Europe,7.064,1.423,1.062,0.757,0.58,0.306,0.34,2.596
2021,United States,USA,North America,6.951,1.533,1.03,0.621,0.554,0.154,0.252,2.807
2021,Uruguay,URY,Latin America and Caribbean,6.431,1.164,1.042,0.649,0.625,0.223,0.128,2.6
2021,Uzbekistan,UZB,Commonwealth of Independent States,6.179,0.769,1.027,0.528,0.716,0.271,0.391,2.477
2021,Venezuela,VEN,Latin America and Caribbean,4.892,0.852,0.897,0.574,0.284,0.072,0.078,2.135
2021,Vietnam,VNM,Southeast Asia,5.411,0.817,0.873,0.616,0.679,0.091,0.124,2.211
2021,Yemen,YEM,Middle East and Northern Africa,3.658,0.329,0.831,0.272,0.268,0.089,0.092,1.776
2021,Zambia,ZMB,Sub-Saharan Africa,4.073,0.528,0.552,0.231,0.487,0.074,0.227,1.975
2021,Zimbabwe,ZWE,Sub-Saharan Africa,3.145,0.457,0.649,0.243,0.359,0.075,0.157,1.205
